Datum;Gewicht in g;Lengte in mm*;
18/5/2021;23;43;
19/5/2021;24;43;
20/5/2021;24;43;
21/5/2021;24;43;
22/5/2021;25;43;
23/5/2021;25;43;
24/5/2021;25;43;
30/5/2021;26;43;
05/6/2021;27;43;
13/6/2021;27;43;
21/6/2021;29;44;
04/7/2021;30;44;
11/7/2021;32;46;
31/7/2021;35;46;
9/8/2021;38;57;
18/8/2021;39;57;
24/8/2021;39;59;
5/9/2021;42;60;
16/9/2021;45;60;
2/10/2021;50;62;
10/10/2021;53;64;
25/10/2021;52;64.5;
25/10/2021;58;67;
14/11/2021;57;67;
25/11/2021;60;67;
17/12/2021;63;69;
05/01/2022;67;69;
01/02/2022;74;71;
